control_number_001,080_udc_number,udc_label_en
NBA01-004214216,821.174.09,Latvian literature: history and criticism
NBA01-004214221,821.174.09,Latvian literature: history and criticism
NBA01-004214222,792,Theatre. Stagecraft. Performing arts
NBA01-004214234,7,Applied sciences
NBA01-004214242,792,Theatre. Stagecraft. Performing arts
NBA01-004214267,75,Painting. Drawing
NBA01-004214271,791,Cinema. Films
NBA01-004214295,82.09,Literary studies. History and criticism of literature
NBA01-004214296,821.174.09,Latvian literature: history and criticism
NBA01-004214299,792,Theatre. Stagecraft. Performing arts
NBA01-004214300,792,Theatre. Stagecraft. Performing arts
NBA01-004214307,7,Applied sciences
NBA01-004214316,791,Cinema. Films
NBA01-004214350,792,Theatre. Stagecraft. Performing arts
NBA01-004214370,91,
NBA01-004214374,745/749,Decorative arts. Applied arts
NBA01-004214388,821.174.09,Latvian literature: history and criticism
NBA01-004214390,791,Cinema. Films
NBA01-004214411,68,
NBA01-004214501,792,Theatre. Stagecraft. Performing arts
NBA01-004214520,741/744,
NBA01-004214544,002,
NBA01-004214575,792,Theatre. Stagecraft. Performing arts
NBA01-004214576,792,Theatre. Stagecraft. Performing arts
NBA01-004214578,792,Theatre. Stagecraft. Performing arts
NBA01-004214579,792,Theatre. Stagecraft. Performing arts
NBA01-004214585,77,Photography and similar processes
NBA01-004214631,78,Music
NBA01-004214638,821.174.09,Latvian literature: history and criticism
NBA01-004214660,792,Theatre. Stagecraft. Performing arts
NBA01-004214663,792,Theatre. Stagecraft. Performing arts
NBA01-004214666,792,Theatre. Stagecraft. Performing arts
NBA01-004214672,792,Theatre. Stagecraft. Performing arts
NBA01-004214684,73,Plastic arts
NBA01-004214700,008,General serial publications
NBA01-004214717,745/749,Decorative arts. Applied arts
NBA01-004214721,630,
NBA01-004214755,745/749,Decorative arts. Applied arts
NBA01-004214777,745/749,Decorative arts. Applied arts
NBA01-004214779,791,Cinema. Films
NBA01-004214804,745/749,Decorative arts. Applied arts
NBA01-004214833,791,Cinema. Films
NBA01-004214852,82.09,Literary studies. History and criticism of literature
NBA01-004214873,2,Religion. Theology
NBA01-004214892,78,Music
NBA01-004214893,78,Music
NBA01-004214898,792,Theatre. Stagecraft. Performing arts
NBA01-004214900,82.09,Literary studies. History and criticism of literature
NBA01-004214901,78,Music
NBA01-004214903,791,Cinema. Films
NBA01-004214912,75,Painting. Drawing
NBA01-004214924,791,Cinema. Films
NBA01-004214927,75,Painting. Drawing
NBA01-004214931,77,Photography and similar processes
NBA01-004214969,78,Music
NBA01-004214996,792,Theatre. Stagecraft. Performing arts
NBA01-004214999,7,Applied sciences
NBA01-004215002,791,Cinema. Films
NBA01-004215008,629,
NBA01-004215009,78,Music
NBA01-004215053,77,Photography and similar processes
NBA01-004215071,791,Cinema. Films
NBA01-004215105,633/635,
NBA01-004215167,631,
NBA01-004215192,7,Applied sciences
NBA01-004215211,745/749,Decorative arts. Applied arts
NBA01-004215221,7,Applied sciences
NBA01-004215223,81,
NBA01-004215232,82.09,Literary studies. History and criticism of literature
NBA01-004215304,2,Religion. Theology
NBA01-004215317,791,Cinema. Films
NBA01-004215344,745/749,Decorative arts. Applied arts
NBA01-004215434,77,Photography and similar processes
NBA01-004215442,82.09,Literary studies. History and criticism of literature
NBA01-004215444,82.09,Literary studies. History and criticism of literature
NBA01-004215452,7,Applied sciences
NBA01-004215472,792,Theatre. Stagecraft. Performing arts
NBA01-004215473,821.174.09,Latvian literature: history and criticism
NBA01-004215478,82.09,Literary studies. History and criticism of literature
NBA01-004215484,77,Photography and similar processes
NBA01-004215491,82.09,Literary studies. History and criticism of literature
NBA01-004215492,791,Cinema. Films
NBA01-004215506,78,Music
NBA01-004215602,77,Photography and similar processes
NBA01-004215613,7,Applied sciences
NBA01-004215644,82.09,Literary studies. History and criticism of literature
NBA01-004215645,82.09,Literary studies. History and criticism of literature
NBA01-004215649,94(474.3),Latvia (geographic area)
NBA01-004215680,75,Painting. Drawing
NBA01-004215693,793,
NBA01-004215714,75,Painting. Drawing
NBA01-004215734,378,
NBA01-004215744,7,Applied sciences
NBA01-004215745,821.174.09,Latvian literature: history and criticism
NBA01-004215751,7,Applied sciences
NBA01-004215800,741/744,
NBA01-004215853,7,Applied sciences
NBA01-004215856,78,Music
NBA01-004215858,792,Theatre. Stagecraft. Performing arts
NBA01-004215861,791,Cinema. Films
NBA01-004216063,821.174.09,Latvian literature: history and criticism
NBA01-004216074,82.09,Literary studies. History and criticism of literature
NBA01-004216091,77,Photography and similar processes
NBA01-004216092,745/749,Decorative arts. Applied arts
NBA01-004216095,82.09,Literary studies. History and criticism of literature
NBA01-004216121,77,Photography and similar processes
NBA01-004216131,792,Theatre. Stagecraft. Performing arts
NBA01-004216133,791,Cinema. Films
NBA01-004216138,745/749,Decorative arts. Applied arts
NBA01-004216141,821.174.09,Latvian literature: history and criticism
NBA01-004216143,821.174.09,Latvian literature: history and criticism
NBA01-004216144,821.174.09,Latvian literature: history and criticism
NBA01-004216147,94(474.3),Latvia (geographic area)
NBA01-004216165,77,Photography and similar processes
NBA01-004216166,355.48,
NBA01-004216167,796,
NBA01-004216172,94(474.3),Latvia (geographic area)
NBA01-004216184,821.174.09,Latvian literature: history and criticism
NBA01-004216189,821.174.09,Latvian literature: history and criticism
NBA01-004216192,821.174.09,Latvian literature: history and criticism
NBA01-004216207,745/749,Decorative arts. Applied arts
NBA01-004216268,821.174.09,Latvian literature: history and criticism
NBA01-004216269,791,Cinema. Films
NBA01-004216273,73,Plastic arts
NBA01-004216274,75,Painting. Drawing
NBA01-004216278,791,Cinema. Films
NBA01-004216279,78,Music
NBA01-004216296,821.174.09,Latvian literature: history and criticism
NBA01-004216298,82.09,Literary studies. History and criticism of literature
NBA01-004216313,791,Cinema. Films
NBA01-004216333,821.174.09,Latvian literature: history and criticism
NBA01-004216349,908,
NBA01-004216500,82.09,Literary studies. History and criticism of literature
NBA01-004216506,73,Plastic arts
NBA01-004216513,7,Applied sciences
NBA01-004216522,82.09,Literary studies. History and criticism of literature
NBA01-004216594,791,Cinema. Films
NBA01-004216595,78,Music
NBA01-004216597,82.09,Literary studies. History and criticism of literature
NBA01-004216616,821.174.09,Latvian literature: history and criticism
NBA01-004216632,78,Music
NBA01-004216634,02,
NBA01-004216638,821.174.09,Latvian literature: history and criticism
NBA01-004216677,791,Cinema. Films
NBA01-004216683,791,Cinema. Films
NBA01-004216694,792,Theatre. Stagecraft. Performing arts
NBA01-004216696,77,Photography and similar processes
NBA01-004216698,791,Cinema. Films
NBA01-004216812,77,Photography and similar processes
NBA01-004216887,821.174.09,Latvian literature: history and criticism
NBA01-004216913,374,
NBA01-004216920,75,Painting. Drawing
NBA01-004216952,821.174.09,Latvian literature: history and criticism
NBA01-004216987,791,Cinema. Films
NBA01-004217019,7,Applied sciences
NBA01-004217031,77,Photography and similar processes
NBA01-004217115,7,Applied sciences
NBA01-004217120,7,Applied sciences
NBA01-004217123,75,Painting. Drawing
NBA01-004217129,792,Theatre. Stagecraft. Performing arts
NBA01-004217240,82.09,Literary studies. History and criticism of literature
NBA01-004217293,792,Theatre. Stagecraft. Performing arts
NBA01-004217295,82.09,Literary studies. History and criticism of literature
NBA01-004217379,792,Theatre. Stagecraft. Performing arts
NBA01-004217380,82.09,Literary studies. History and criticism of literature
NBA01-004217418,82.09,Literary studies. History and criticism of literature
NBA01-004217419,821.174.09,Latvian literature: history and criticism
NBA01-004217458,821.174.09,Latvian literature: history and criticism
NBA01-004217485,78,Music
NBA01-004217487,791,Cinema. Films
NBA01-004217490,792,Theatre. Stagecraft. Performing arts
NBA01-004217500,821.174.09,Latvian literature: history and criticism
NBA01-004217510,75,Painting. Drawing
NBA01-004217610,745/749,Decorative arts. Applied arts
NBA01-004217611,821.174.09,Latvian literature: history and criticism
NBA01-004217615,94(474.3),Latvia (geographic area)
NBA01-004217665,82.09,Literary studies. History and criticism of literature
NBA01-004217667,82.09,Literary studies. History and criticism of literature
NBA01-004217668,791,Cinema. Films
NBA01-004217672,791,Cinema. Films
NBA01-004217680,821.174.09,Latvian literature: history and criticism
NBA01-004217681,82.09,Literary studies. History and criticism of literature
NBA01-004217703,77,Photography and similar processes
NBA01-004217726,77,Photography and similar processes
NBA01-004217730,791,Cinema. Films
NBA01-004217749,7,Applied sciences
NBA01-004217813,821.174.09,Latvian literature: history and criticism
NBA01-004217815,82.09,Literary studies. History and criticism of literature
NBA01-004217820,91,
NBA01-004217825,73,Plastic arts
NBA01-004217829,75,Painting. Drawing
NBA01-004217902,902,
NBA01-004217929,821.174.09,Latvian literature: history and criticism
NBA01-004217947,82.09,Literary studies. History and criticism of literature
NBA01-004217962,821.174.09,Latvian literature: history and criticism
NBA01-004218063,796,
NBA01-004218083,821.174.09,Latvian literature: history and criticism
NBA01-004218137,75,Painting. Drawing
NBA01-004218207,791,Cinema. Films
NBA01-004218285,821.174.09,Latvian literature: history and criticism
NBA01-004218293,821.174.09,Latvian literature: history and criticism
NBA01-004218315,76,
NBA01-004218321,82.09,Literary studies. History and criticism of literature
NBA01-004218339,77,Photography and similar processes
NBA01-004218349,7,Applied sciences
NBA01-004218350,741/744,
NBA01-004218391,791,Cinema. Films
NBA01-004218446,7,Applied sciences
NBA01-004218499,793.3,Indoor games and sport
NBA01-004218518,793.3,Indoor games and sport
NBA01-004218536,77,Photography and similar processes
NBA01-004218537,77,Photography and similar processes
NBA01-004218538,745/749,Decorative arts. Applied arts
NBA01-004218545,821.174.09,Latvian literature: history and criticism
NBA01-004218551,77,Photography and similar processes
NBA01-004218552,75,Painting. Drawing
NBA01-004218553,791,Cinema. Films
NBA01-004218558,791,Cinema. Films
NBA01-004218561,791,Cinema. Films
NBA01-004218564,791,Cinema. Films
NBA01-004218584,793.3,Indoor games and sport
NBA01-004218656,78,Music
NBA01-004218662,78,Music
NBA01-004218664,792,Theatre. Stagecraft. Performing arts
NBA01-004218713,82.09,Literary studies. History and criticism of literature
NBA01-004218723,75,Painting. Drawing
NBA01-004218754,82.09,Literary studies. History and criticism of literature
NBA01-004218755,821.174.09,Latvian literature: history and criticism
NBA01-004218758,821.174.09,Latvian literature: history and criticism
NBA01-004218799,656,
NBA01-004218814,791,Cinema. Films
NBA01-004218842,7,Applied sciences
NBA01-004218871,75,Painting. Drawing
NBA01-004218914,398,
NBA01-004218925,821.174.09,Latvian literature: history and criticism
NBA01-004218934,72,
NBA01-004218948,7,Applied sciences
NBA01-004218975,821.174.09,Latvian literature: history and criticism
NBA01-004219040,82.09,Literary studies. History and criticism of literature
NBA01-004219044,821.174.09,Latvian literature: history and criticism
NBA01-004219094,821.174.09,Latvian literature: history and criticism
NBA01-004219117,792,Theatre. Stagecraft. Performing arts
NBA01-004219133,821.174.09,Latvian literature: history and criticism
NBA01-004219135,821.174.09,Latvian literature: history and criticism
NBA01-004219136,82.09,Literary studies. History and criticism of literature
NBA01-004219142,72,
NBA01-004219145,791,Cinema. Films
NBA01-004219157,069,Museums
NBA01-004219196,792,Theatre. Stagecraft. Performing arts
NBA01-004219240,75,Painting. Drawing
NBA01-004219245,77,Photography and similar processes
NBA01-004219276,792,Theatre. Stagecraft. Performing arts
NBA01-004219320,792,Theatre. Stagecraft. Performing arts
NBA01-004219335,792,Theatre. Stagecraft. Performing arts
NBA01-004219344,791,Cinema. Films
NBA01-004219351,069,Museums
NBA01-004219353,821.174.09,Latvian literature: history and criticism
NBA01-004219361,821.174.09,Latvian literature: history and criticism
NBA01-004219383,82.09,Literary studies. History and criticism of literature
NBA01-004219451,791,Cinema. Films
NBA01-004219456,791,Cinema. Films
NBA01-004219479,030,
NBA01-004219525,792,Theatre. Stagecraft. Performing arts
NBA01-004219526,82.09,Literary studies. History and criticism of literature
NBA01-004219532,792,Theatre. Stagecraft. Performing arts
NBA01-004219600,792,Theatre. Stagecraft. Performing arts
NBA01-004219605,791,Cinema. Films
NBA01-004219610,821.174.09,Latvian literature: history and criticism
NBA01-004219667,821.174.09,Latvian literature: history and criticism
NBA01-004219671,792,Theatre. Stagecraft. Performing arts
NBA01-004219675,73,Plastic arts
NBA01-004219689,75,Painting. Drawing
NBA01-004219704,7,Applied sciences
NBA01-004219711,91,
NBA01-004219748,75,Painting. Drawing
NBA01-004219751,77,Photography and similar processes
NBA01-004219774,792,Theatre. Stagecraft. Performing arts
NBA01-004219807,13,
NBA01-004219905,159.9,
NBA01-004219932,82.09,Literary studies. History and criticism of literature
NBA01-004219942,821.174.09,Latvian literature: history and criticism
NBA01-004219953,82.09,Literary studies. History and criticism of literature
NBA01-004219985,791,Cinema. Films
NBA01-004220024,77,Photography and similar processes
NBA01-004220025,791,Cinema. Films
NBA01-004220026,791,Cinema. Films
NBA01-004220027,791,Cinema. Films
NBA01-004220077,745/749,Decorative arts. Applied arts
NBA01-004220080,792,Theatre. Stagecraft. Performing arts
NBA01-004220103,930,
NBA01-004220117,7,Applied sciences
NBA01-004220200,75,Painting. Drawing
NBA01-004220201,791,Cinema. Films
NBA01-004220218,78,Music
NBA01-004220255,7,Applied sciences
NBA01-004220353,791,Cinema. Films
NBA01-004220354,791,Cinema. Films
NBA01-004220355,791,Cinema. Films
NBA01-004220379,75,Painting. Drawing
NBA01-004220382,73,Plastic arts
NBA01-004220448,75,Painting. Drawing
NBA01-004220459,791,Cinema. Films
NBA01-004220473,792,Theatre. Stagecraft. Performing arts
NBA01-004220478,791,Cinema. Films
NBA01-004220571,75,Painting. Drawing
NBA01-004220600,791,Cinema. Films
NBA01-004220601,791,Cinema. Films
NBA01-004220604,82.09,Literary studies. History and criticism of literature
NBA01-004220605,791,Cinema. Films
NBA01-004220646,791,Cinema. Films
NBA01-004220662,791,Cinema. Films
NBA01-004220710,7,Applied sciences
NBA01-004220726,791,Cinema. Films
NBA01-004220770,2,Religion. Theology
NBA01-004220841,82.09,Literary studies. History and criticism of literature
NBA01-004220874,791,Cinema. Films
NBA01-004220885,77,Photography and similar processes
NBA01-004220913,821.174.09,Latvian literature: history and criticism
NBA01-004220961,636,
NBA01-004220977,398,
NBA01-004220991,82.09,Literary studies. History and criticism of literature
NBA01-004220997,821.174.09,Latvian literature: history and criticism
NBA01-004221008,82.09,Literary studies. History and criticism of literature
NBA01-004221014,793.3,Indoor games and sport
NBA01-004221016,14,
NBA01-004221044,82.09,Literary studies. History and criticism of literature
NBA01-004221047,821.174.09,Latvian literature: history and criticism
NBA01-004221049,82.09,Literary studies. History and criticism of literature
NBA01-004221054,821.174.09,Latvian literature: history and criticism
NBA01-004221056,069,Museums
NBA01-004221057,791,Cinema. Films
NBA01-004221058,77,Photography and similar processes
NBA01-004221067,77,Photography and similar processes
NBA01-004221071,792,Theatre. Stagecraft. Performing arts
NBA01-004221075,792,Theatre. Stagecraft. Performing arts
NBA01-004221094,791,Cinema. Films
NBA01-004221095,793.3,Indoor games and sport
NBA01-004221110,355/359,
NBA01-004221182,793.3,Indoor games and sport
NBA01-004221193,793.3,Indoor games and sport
NBA01-004221197,745/749,Decorative arts. Applied arts
NBA01-004221207,82.09,Literary studies. History and criticism of literature
NBA01-004221225,68,
NBA01-004221231,82.09,Literary studies. History and criticism of literature
NBA01-004221239,82.09,Literary studies. History and criticism of literature
NBA01-004221247,791,Cinema. Films
NBA01-004221251,82.09,Literary studies. History and criticism of literature
NBA01-004221254,82.09,Literary studies. History and criticism of literature
NBA01-004221258,82.09,Literary studies. History and criticism of literature
NBA01-004221260,82.09,Literary studies. History and criticism of literature
NBA01-004221306,75,Painting. Drawing
NBA01-004221310,792,Theatre. Stagecraft. Performing arts
NBA01-004221311,7,Applied sciences
NBA01-004221313,78,Music
NBA01-004221334,791,Cinema. Films
NBA01-004221343,791,Cinema. Films
NBA01-004221344,791,Cinema. Films
NBA01-004221363,791,Cinema. Films
NBA01-004221366,791,Cinema. Films
NBA01-004221381,94(474.3),Latvia (geographic area)
NBA01-004221382,792,Theatre. Stagecraft. Performing arts
NBA01-004221383,791,Cinema. Films
NBA01-004221384,78,Music
NBA01-004221472,791,Cinema. Films
NBA01-004221490,94(474.3),Latvia (geographic area)
NBA01-004221495,75,Painting. Drawing
NBA01-004221697,792,Theatre. Stagecraft. Performing arts
NBA01-004221714,069,Museums
NBA01-004221730,82.09,Literary studies. History and criticism of literature
NBA01-004221783,77,Photography and similar processes
NBA01-004221866,791,Cinema. Films
NBA01-004221873,655,
NBA01-004221874,636,
NBA01-004221877,7,Applied sciences
NBA01-004221879,069,Museums
NBA01-004221899,069,Museums
NBA01-004221904,77,Photography and similar processes
NBA01-004221942,793.3,Indoor games and sport
NBA01-004221960,77,Photography and similar processes
NBA01-004221988,791,Cinema. Films
NBA01-004222023,069,Museums
NBA01-004222026,793.3,Indoor games and sport
NBA01-004222031,78,Music
NBA01-004222037,78,Music
NBA01-004222088,77,Photography and similar processes
NBA01-004222140,82.09,Literary studies. History and criticism of literature
NBA01-004222192,52,
NBA01-004222207,793.3,Indoor games and sport
NBA01-004222254,793.3,Indoor games and sport
NBA01-004222264,75,Painting. Drawing
NBA01-004222279,77,Photography and similar processes
NBA01-004222324,02,
NBA01-004222326,7,Applied sciences
NBA01-004222344,791,Cinema. Films
NBA01-004222351,52,
NBA01-004222388,745/749,Decorative arts. Applied arts
NBA01-004222389,159.9,
NBA01-004222393,791,Cinema. Films
NBA01-004222398,821.174.09,Latvian literature: history and criticism
NBA01-004222407,398,
NBA01-004222410,791,Cinema. Films
NBA01-004222418,82.09,Literary studies. History and criticism of literature
NBA01-004222419,821.174.09,Latvian literature: history and criticism
NBA01-004222420,82.09,Literary studies. History and criticism of literature
NBA01-004222439,791,Cinema. Films
NBA01-004222445,91,
NBA01-004222514,069,Museums
NBA01-004222518,75,Painting. Drawing
NBA01-004222519,75,Painting. Drawing
NBA01-004222554,77,Photography and similar processes
NBA01-004222560,793.3,Indoor games and sport
NBA01-004222564,339,
NBA01-004222577,75,Painting. Drawing
NBA01-004222583,745/749,Decorative arts. Applied arts
NBA01-004222605,77,Photography and similar processes
NBA01-004222613,75,Painting. Drawing
NBA01-004222644,7,Applied sciences
NBA01-004222681,77,Photography and similar processes
NBA01-004222684,821.174.09,Latvian literature: history and criticism
NBA01-004222685,069,Museums
NBA01-004222686,77,Photography and similar processes
NBA01-004222695,379.8,
NBA01-004222801,623,
NBA01-004222822,792,Theatre. Stagecraft. Performing arts
NBA01-004222827,78,Music
NBA01-004222844,77,Photography and similar processes
NBA01-004222872,75,Painting. Drawing
NBA01-004222915,793.3,Indoor games and sport
NBA01-004222918,791,Cinema. Films
NBA01-004222921,791,Cinema. Films
NBA01-004222954,791,Cinema. Films
NBA01-004222972,791,Cinema. Films
NBA01-004222973,791,Cinema. Films
NBA01-004222978,791,Cinema. Films
NBA01-004222979,821.174.09,Latvian literature: history and criticism
NBA01-004222992,821.174.09,Latvian literature: history and criticism
NBA01-004222993,792,Theatre. Stagecraft. Performing arts
NBA01-004223003,792,Theatre. Stagecraft. Performing arts
NBA01-004223012,82.09,Literary studies. History and criticism of literature
NBA01-004223014,791,Cinema. Films
NBA01-004223155,821.174.09,Latvian literature: history and criticism
NBA01-004223179,75,Painting. Drawing
NBA01-004223180,745/749,Decorative arts. Applied arts
NBA01-004223186,77,Photography and similar processes
NBA01-004223192,7,Applied sciences
NBA01-004223195,76,
NBA01-004223255,02,
NBA01-004223295,791,Cinema. Films
NBA01-004223301,821.174.09,Latvian literature: history and criticism
NBA01-004223306,78,Music
NBA01-004223320,7,Applied sciences
NBA01-004223324,792,Theatre. Stagecraft. Performing arts
NBA01-004223328,75,Painting. Drawing
NBA01-004223337,7,Applied sciences
NBA01-004223345,821.174.09,Latvian literature: history and criticism
NBA01-004223373,639,
NBA01-004223388,792,Theatre. Stagecraft. Performing arts
NBA01-004223389,77,Photography and similar processes
NBA01-004223393,78,Music
NBA01-004223394,82.09,Literary studies. History and criticism of literature
NBA01-004223397,791,Cinema. Films
NBA01-004223525,75,Painting. Drawing
NBA01-004223540,77,Photography and similar processes
NBA01-004223544,82.09,Literary studies. History and criticism of literature
NBA01-004223547,75,Painting. Drawing
NBA01-004223551,792,Theatre. Stagecraft. Performing arts
NBA01-004223588,82.09,Literary studies. History and criticism of literature
NBA01-004223639,792,Theatre. Stagecraft. Performing arts
NBA01-004223650,82.09,Literary studies. History and criticism of literature
NBA01-004223679,745/749,Decorative arts. Applied arts
NBA01-004223699,792,Theatre. Stagecraft. Performing arts
NBA01-004223716,792,Theatre. Stagecraft. Performing arts
NBA01-004223722,792,Theatre. Stagecraft. Performing arts
NBA01-004223743,82.09,Literary studies. History and criticism of literature
NBA01-004223751,791,Cinema. Films
NBA01-004223753,75,Painting. Drawing
NBA01-004223755,82.09,Literary studies. History and criticism of literature
NBA01-004223763,791,Cinema. Films
NBA01-004223767,379.8,
NBA01-004223832,791,Cinema. Films
NBA01-004223833,791,Cinema. Films
NBA01-004223880,68,
NBA01-004223900,791,Cinema. Films
NBA01-004223979,75,Painting. Drawing
NBA01-004224003,821.174-4,
NBA01-004224027,82.09,Literary studies. History and criticism of literature
NBA01-004224028,791,Cinema. Films
NBA01-004224058,792,Theatre. Stagecraft. Performing arts
NBA01-004224070,792,Theatre. Stagecraft. Performing arts
NBA01-004224082,908,
NBA01-004224085,792,Theatre. Stagecraft. Performing arts
NBA01-004224088,76,
NBA01-004224097,792,Theatre. Stagecraft. Performing arts
NBA01-004224099,792,Theatre. Stagecraft. Performing arts
NBA01-004224105,821.174.09,Latvian literature: history and criticism
NBA01-004224106,792,Theatre. Stagecraft. Performing arts
NBA01-004224115,77,Photography and similar processes
NBA01-004224117,77,Photography and similar processes
NBA01-004224118,77,Photography and similar processes
NBA01-004224120,77,Photography and similar processes
NBA01-004224121,77,Photography and similar processes
NBA01-004224127,77,Photography and similar processes
NBA01-004224139,821.174-4,
NBA01-004224141,75,Painting. Drawing
NBA01-004224149,791,Cinema. Films
NBA01-004224152,77,Photography and similar processes
NBA01-004224159,77,Photography and similar processes
NBA01-004224162,77,Photography and similar processes
NBA01-004224164,77,Photography and similar processes
NBA01-004224171,821.174-1,
NBA01-004224186,77,Photography and similar processes
NBA01-004224188,77,Photography and similar processes
NBA01-004224189,02,
NBA01-004224190,77,Photography and similar processes
NBA01-004224192,77,Photography and similar processes
NBA01-004224198,7,Applied sciences
NBA01-004224218,82.09,Literary studies. History and criticism of literature
NBA01-004224229,75,Painting. Drawing
NBA01-004224239,821.174.09,Latvian literature: history and criticism
NBA01-004224279,791,Cinema. Films
NBA01-004224327,75,Painting. Drawing
NBA01-004224332,73,Plastic arts
NBA01-004224376,37.09,
NBA01-004224457,75,Painting. Drawing
NBA01-004224474,745/749,Decorative arts. Applied arts
NBA01-004224491,82.09,Literary studies. History and criticism of literature
NBA01-004224501,82.09,Literary studies. History and criticism of literature
NBA01-004224503,793.3,Indoor games and sport
NBA01-004224517,792,Theatre. Stagecraft. Performing arts
NBA01-004224526,82.09,Literary studies. History and criticism of literature
NBA01-004224587,793.3,Indoor games and sport
NBA01-004224599,7,Applied sciences
NBA01-004224604,7,Applied sciences
NBA01-004224605,793.3,Indoor games and sport
NBA01-004224698,75,Painting. Drawing
NBA01-004224714,82.09,Literary studies. History and criticism of literature
NBA01-004224732,745/749,Decorative arts. Applied arts
NBA01-004224771,791,Cinema. Films
NBA01-004224804,791,Cinema. Films
NBA01-004224861,821.174-4,
NBA01-004224882,821.174.09,Latvian literature: history and criticism
NBA01-004224886,82.09,Literary studies. History and criticism of literature
NBA01-004224897,821.174.09,Latvian literature: history and criticism
NBA01-004224900,82.09,Literary studies. History and criticism of literature
NBA01-004224907,2,Religion. Theology
NBA01-004224936,77,Photography and similar processes
NBA01-004224943,7,Applied sciences
NBA01-004224949,7,Applied sciences
NBA01-004224962,7,Applied sciences
NBA01-004224965,658,
NBA01-004224967,7,Applied sciences
NBA01-004224984,791,Cinema. Films
NBA01-004224985,792,Theatre. Stagecraft. Performing arts
NBA01-004224987,792,Theatre. Stagecraft. Performing arts
NBA01-004224988,792,Theatre. Stagecraft. Performing arts
NBA01-004224989,792,Theatre. Stagecraft. Performing arts
NBA01-004224991,792,Theatre. Stagecraft. Performing arts
NBA01-004224993,792,Theatre. Stagecraft. Performing arts
NBA01-004225008,792,Theatre. Stagecraft. Performing arts
NBA01-004225013,792,Theatre. Stagecraft. Performing arts
NBA01-004225017,636,
NBA01-004225024,792,Theatre. Stagecraft. Performing arts
NBA01-004225043,792,Theatre. Stagecraft. Performing arts
NBA01-004225058,78,Music
NBA01-004225061,792,Theatre. Stagecraft. Performing arts
NBA01-004225071,069,Museums
NBA01-004225114,908,
NBA01-004225128,821.174.09,Latvian literature: history and criticism
NBA01-004225206,791,Cinema. Films
NBA01-004225207,791,Cinema. Films
NBA01-004225262,745/749,Decorative arts. Applied arts
NBA01-004225312,75,Painting. Drawing
NBA01-004225357,82.09,Literary studies. History and criticism of literature
NBA01-004225368,82.09,Literary studies. History and criticism of literature
NBA01-004225378,82.09,Literary studies. History and criticism of literature
NBA01-004225380,791,Cinema. Films
NBA01-004225385,821.174.09,Latvian literature: history and criticism
NBA01-004225391,811.174,
NBA01-004225415,821.174.09,Latvian literature: history and criticism
NBA01-004225456,792,Theatre. Stagecraft. Performing arts
NBA01-004225457,792,Theatre. Stagecraft. Performing arts
NBA01-004225458,78,Music
NBA01-004225463,792,Theatre. Stagecraft. Performing arts
NBA01-004225464,78,Music
NBA01-004225511,78,Music
NBA01-004225552,792,Theatre. Stagecraft. Performing arts
NBA01-004225703,7,Applied sciences
NBA01-004225712,75,Painting. Drawing
NBA01-004225713,77,Photography and similar processes
NBA01-004225720,821.174.09,Latvian literature: history and criticism
NBA01-004225728,821.174.09,Latvian literature: history and criticism
NBA01-004225735,82.09,Literary studies. History and criticism of literature
NBA01-004225740,821.174.09,Latvian literature: history and criticism
NBA01-004225744,82.09,Literary studies. History and criticism of literature
NBA01-004225755,821.174.09,Latvian literature: history and criticism
NBA01-004225759,82.09,Literary studies. History and criticism of literature
NBA01-004225768,82.09,Literary studies. History and criticism of literature
NBA01-004225779,82.09,Literary studies. History and criticism of literature
NBA01-004225787,821.174.09,Latvian literature: history and criticism
NBA01-004225792,821.174.09,Latvian literature: history and criticism
NBA01-004225849,77,Photography and similar processes
NBA01-004225899,791,Cinema. Films
NBA01-004225907,821.174.09,Latvian literature: history and criticism
NBA01-004225909,821.174.09,Latvian literature: history and criticism
NBA01-004225911,821.174.09,Latvian literature: history and criticism
NBA01-004225913,81,
NBA01-004225917,77,Photography and similar processes
NBA01-004225942,7,Applied sciences
NBA01-004225951,77,Photography and similar processes
NBA01-004225993,791,Cinema. Films
NBA01-004225995,791,Cinema. Films
NBA01-004226010,811.174,
NBA01-004226045,78,Music
NBA01-004226083,78,Music
NBA01-004226086,78,Music
NBA01-004226088,792,Theatre. Stagecraft. Performing arts
NBA01-004226089,792,Theatre. Stagecraft. Performing arts
NBA01-004226090,75,Painting. Drawing
NBA01-004226110,791,Cinema. Films
NBA01-004226128,821.174.09,Latvian literature: history and criticism
NBA01-004226152,78,Music
NBA01-004226162,791,Cinema. Films
NBA01-004226164,78,Music
NBA01-004226191,75,Painting. Drawing
NBA01-004226192,73,Plastic arts
NBA01-004226214,73,Plastic arts
NBA01-004226269,745/749,Decorative arts. Applied arts
NBA01-004226278,7,Applied sciences
NBA01-004226287,745/749,Decorative arts. Applied arts
NBA01-004226292,791,Cinema. Films
NBA01-004226356,793.3,Indoor games and sport
NBA01-004226400,78,Music
NBA01-004226432,792,Theatre. Stagecraft. Performing arts
NBA01-004226444,792,Theatre. Stagecraft. Performing arts
NBA01-004226476,78,Music
NBA01-004226485,75,Painting. Drawing
NBA01-004226493,791,Cinema. Films
NBA01-004226508,821.174.09,Latvian literature: history and criticism
NBA01-004226619,02,
NBA01-004226620,02,
NBA01-004226623,02,
